%count	fx
15	679959256.866822
30	679959256.866822
45	679959256.866822
60	614512737.375325
75	614512737.375325
90	614512737.375325
105	149725957.515210
120	149725957.515210
135	149725957.515210
150	149725957.515210
300	149725957.515210
450	149725957.515210
600	130722517.491891
750	130722517.491891
900	130722517.491891
1050	130722517.491891
1200	130722517.491891
1350	130722517.491891
1500	130722517.491891
