%count	fx
5	3399.647603
10	3399.647603
15	2117.867065
20	2117.867065
25	2117.867065
30	2117.867065
35	2117.867065
40	2117.867065
45	2117.867065
50	2117.867065
100	2117.867065
150	2117.867065
200	2117.867065
250	2117.867065
300	2117.867065
350	2117.867065
400	2117.867065
450	2117.867065
500	2117.867065
