%count	fx
15	822779426.710682
30	822779426.710682
45	365485928.826366
60	311176319.886152
75	311176319.886152
90	311176319.886152
105	311176319.886152
120	311176319.886152
135	311176319.886152
150	311176319.886152
300	260827771.368230
450	127918497.540045
600	127918497.540045
750	115972382.976613
900	114260123.470613
1050	114260123.470613
1200	114260123.470613
1350	93960963.188777
1500	93960963.188777
