%count	fx
15	94154183.748153
30	94154183.748153
45	94154183.748153
60	94154183.748153
75	94154183.748153
90	94154183.748153
105	94154183.748153
120	94154183.748153
135	94154183.748153
150	44814841.838827
300	44814841.838827
450	44814841.838827
600	44814841.838827
750	44814841.838827
900	44814841.838827
1050	44814841.838827
1200	44814841.838827
1350	44814841.838827
1500	44814841.838827
