%count	fx
5	2561.652630
10	2561.652630
15	2244.164314
20	2244.164314
25	2244.164314
30	2244.164314
35	2244.164314
40	2244.164314
45	2244.164314
50	2244.164314
100	2244.164314
150	2244.164314
200	2198.202276
250	1830.964495
300	1830.964495
350	1813.808863
400	1813.808863
450	1813.808863
500	1813.808863
