%count	fx
15	374787.987023
30	374787.987023
45	374787.987023
60	374787.987023
75	374787.987023
90	374787.987023
105	374787.987023
120	374787.987023
135	374787.987023
150	374787.987023
300	3147.343087
450	3147.343087
600	3147.343087
750	3147.343087
900	3147.343087
1050	3147.343087
1200	3147.343087
1350	3147.343087
1500	3147.343087
